timestamp,imu_w,imu_x,imu_y,imu_z,pos1,pos2,pos3,pos4,pos5,pos6,vel1,vel2,vel3,vel4,vel5,vel6
1.079,0.582087,-0.645848,-0.249355,-0.42647,-0.0709,-0.158582,0.158907,-0.028479,0.222646,0.152609,-0.385216,-2.200001,-0.491966,0.136463,-2.026779,-1.385262
1.099,0.58091,-0.645556,-0.248976,-0.428732,-0.087395,-0.204616,0.147783,-0.02963,0.177763,0.117317,-1.086151,-2.540398,-0.770931,-0.210987,-2.163746,-1.832409
1.119,0.578138,-0.645355,-0.248665,-0.432943,-0.113481,-0.259089,0.128219,-0.042289,0.132114,0.09008,-1.326847,-2.527306,-1.181828,-0.835384,-2.450768,-0.936096
1.139,0.578298,-0.644674,-0.250101,-0.432917,-0.143786,-0.308191,0.095994,-0.062237,0.07649,0.079723,-1.709545,-2.655209,-1.746807,-1.203983,-2.617943,-0.117325
1.159,0.580335,-0.644458,-0.25603,-0.427006,-0.170255,-0.362664,0.058785,-0.088322,0.031991,0.081641,-0.912933,-2.678371,-2.037857,-1.122406,-1.92305,0.197895
1.179,0.58369,-0.644559,-0.26465,-0.416906,-0.176393,-0.404477,0.01467,-0.11671,0.004754,0.096601,-0.117325,-1.942184,-2.067062,-1.497047,-0.537285,0.919983
1.2,0.586756,-0.645003,-0.273726,-0.405909,-0.172173,-0.431331,-0.027528,-0.155454,-0.000234,0.10696,0.320759,-0.783016,-2.270496,-1.991531,-0.000504,0.136463
1.22,0.58995,-0.646329,-0.286504,-0.390042,-0.15683,-0.435166,-0.069726,-0.187679,0.007056,0.105042,1.05191,0.004532,-1.526253,-1.289585,0.546349,-0.295582
1.24,0.591501,-0.647892,-0.300529,-0.374226,-0.131894,-0.427111,-0.088906,-0.208009,0.024319,0.093149,1.420507,0.497002,-0.582603,-0.642025,0.958252,-0.798122
1.26,0.592297,-0.649903,-0.311187,-0.360517,-0.117317,-0.41215,-0.091208,-0.208777,0.05002,0.067447,0.532249,0.944153,0.151569,0.08812,1.617899,-1.396339
1.28,0.591685,-0.651834,-0.314209,-0.355378,-0.114248,-0.387215,-0.082001,-0.198036,0.086464,0.040211,-0.044815,1.40943,0.752804,0.698421,1.786083,-1.54438
1.3,0.590296,-0.654162,-0.313325,-0.35419,-0.123071,-0.35691,-0.063203,-0.17617,0.121371,0.002233,-0.66116,1.743786,1.022705,1.303684,1.858595,-1.797161
1.321,0.589348,-0.656008,-0.309424,-0.355781,-0.143018,-0.317782,-0.03827,-0.143563,0.16357,-0.027688,-1.141544,1.926069,1.393316,1.542366,2.054977,-1.157658
1.341,0.587707,-0.658211,-0.301039,-0.361572,-0.167186,-0.277502,-0.005279,-0.12093,0.206535,-0.039197,-1.418495,2.277546,1.818312,0.906891,2.274525,-0.129414
1.361,0.586406,-0.660193,-0.291431,-0.367889,-0.202095,-0.227633,0.02963,-0.112107,0.256787,-0.036128,-1.750835,2.478966,1.992538,0.042801,2.354086,0.455711
1.381,0.58599,-0.662345,-0.279714,-0.373731,-0.230099,-0.181216,0.073362,-0.115943,0.304355,-0.021934,-0.865597,2.486015,2.115404,-0.448662,2.435659,0.742733
1.401,0.586911,-0.663941,-0.269256,-0.377119,-0.235853,-0.126743,0.115942,-0.119396,0.350772,-0.001219,-0.046829,2.547447,2.270496,-0.017624,1.868666,1.337927
1.421,0.588211,-0.665511,-0.258257,-0.380007,-0.231634,-0.075338,0.165812,-0.115176,0.374556,0.029854,0.321766,2.682398,2.595789,0.352985,0.819271,1.731701
1.442,0.588159,-0.666794,-0.247684,-0.384847,-0.21744,-0.029306,0.210311,-0.09868,0.381461,0.06131,0.894806,1.722637,2.181871,0.901855,0.086105,1.778027
1.462,0.5887,-0.666289,-0.234281,-0.393197,-0.192121,-0.00744,0.241383,-0.076431,0.386065,0.102357,1.278507,0.716549,0.676266,1.327856,0.477867,2.222157
1.482,0.589458,-0.663347,-0.223512,-0.403179,-0.163734,-0.000919,0.245986,-0.054565,0.387599,0.144937,1.566538,-0.006546,-0.187824,0.965302,-0.237171,2.259418
1.502,0.58686,-0.659963,-0.214602,-0.417121,-0.12614,-0.003987,0.239082,-0.046893,0.378392,0.187134,1.923048,-0.229115,-0.645046,0.204945,-0.599724,1.689404
1.522,0.58562,-0.657504,-0.210692,-0.424672,-0.087012,-0.0224,0.219518,-0.05303,0.358828,0.206315,2.078142,-1.008606,-1.167728,-0.440605,-1.08313,0.489952
1.542,0.586182,-0.655651,-0.211404,-0.426405,-0.050185,-0.043882,0.204557,-0.06991,0.333893,0.208233,1.393316,-1.293613,-0.533257,-0.910919,-1.526253,-0.233143
1.563,0.586643,-0.655028,-0.214827,-0.425014,-0.038677,-0.075338,0.203022,-0.082952,0.298985,0.198642,0.324787,-1.714581,0.145527,-0.478874,-1.782055,-0.770931
1.583,0.588349,-0.654115,-0.217142,-0.42288,-0.039444,-0.111782,0.203407,-0.084486,0.265226,0.179079,-0.20293,-1.865643,-0.027695,0.142506,-1.633007,-1.191898
1.603,0.588643,-0.652619,-0.217772,-0.424458,-0.050568,-0.158966,0.194583,-0.074513,0.223796,0.153376,-0.697414,-2.367176,-0.589653,0.521172,-2.142597,-1.562508
1.623,0.588714,-0.649993,-0.219746,-0.427361,-0.072051,-0.204616,0.17732,-0.069526,0.18275,0.118851,-1.121399,-2.402428,-1.063995,0.133442,-2.339985,-1.820324
1.643,0.589178,-0.646821,-0.223171,-0.429751,-0.098904,-0.256787,0.147783,-0.07413,0.129428,0.091614,-1.49604,-2.504143,-1.510139,-0.334858,-2.561546,-0.950195
1.663,0.589743,-0.643404,-0.228992,-0.431043,-0.134579,-0.302821,0.11364,-0.086404,0.077641,0.080106,-1.823345,-2.524284,-1.956284,-0.730648,-2.714626,-0.272419
1.683,0.591636,-0.641021,-0.236513,-0.427926,-0.17179,-0.359211,0.06991,-0.105968,0.028538,0.082024,-2.064041,-2.78915,-2.001602,-1.071045,-1.853558,0.359028
1.704,0.595444,-0.638522,-0.248139,-0.419718,-0.207082,-0.403327,0.028479,-0.134739,0.004754,0.095451,-1.188877,-1.941177,-2.074112,-1.563515,-0.650082,0.964294
1.724,0.599088,-0.637053,-0.260092,-0.409401,-0.218207,-0.430564,-0.020624,-0.166963,0.000151,0.10696,-0.421471,-0.827328,-2.431633,-1.79414,0.025681,0.261341
1.744,0.602071,-0.636331,-0.276254,-0.395319,-0.217824,-0.435934,-0.060902,-0.199954,0.006673,0.105042,0.204945,0.099197,-1.676311,-1.377205,0.50808,-0.219044
1.764,0.603862,-0.635961,-0.293222,-0.380692,-0.206315,-0.428262,-0.083919,-0.215682,0.023934,0.091614,0.783016,0.528221,-0.624901,-0.416435,0.965302,-0.86459
1.784,0.604229,-0.636078,-0.308085,-0.367963,-0.183298,-0.413684,-0.08507,-0.216449,0.048102,0.068982,1.23621,0.952209,0.046829,0.241199,1.424536,-1.249302
1.804,0.603669,-0.636483,-0.313768,-0.363349,-0.171023,-0.388366,-0.075097,-0.204174,0.08493,0.040979,0.327808,1.433599,0.696407,0.733669,1.764935,-1.572578
1.824,0.60214,-0.637694,-0.314963,-0.36273,-0.17179,-0.35806,-0.05745,-0.181541,0.115618,0.003384,-0.143513,1.739758,1.289585,1.323828,1.408422,-1.696453
1.844,0.601314,-0.638524,-0.312787,-0.364517,-0.182531,-0.319316,-0.03405,-0.148933,0.147458,-0.027305,-0.694393,1.881758,1.296635,1.609842,1.616892,-1.17075
1.864,0.599501,-0.639768,-0.306845,-0.370326,-0.204013,-0.277886,-0.001058,-0.125534,0.181982,-0.037278,-1.003571,2.386312,1.711559,0.909912,1.82234,-0.099197
1.884,0.597493,-0.641329,-0.299417,-0.376894,-0.230099,-0.227248,0.033466,-0.11671,0.224564,-0.034594,-1.562508,2.517235,1.860609,0.106247,2.114397,0.358021
1.904,0.596402,-0.643233,-0.290006,-0.382691,-0.247745,-0.179682,0.076814,-0.121314,0.266761,-0.019248,-0.732662,2.607874,2.152666,-0.415428,2.317831,0.852505
1.924,0.597049,-0.645092,-0.281188,-0.385127,-0.252349,-0.125209,0.118628,-0.123231,0.305122,0.000315,0.030716,2.631037,2.346029,0.003525,1.643076,1.257359
1.944,0.597692,-0.647016,-0.272553,-0.387105,-0.244676,-0.073421,0.169649,-0.117861,0.328523,0.030237,0.529228,2.784115,2.662256,0.353992,0.881714,1.563517
1.964,0.597376,-0.649422,-0.260865,-0.391589,-0.226263,-0.031607,0.216449,-0.100981,0.332743,0.062461,1.022705,1.610849,1.952255,0.815243,-0.070999,1.779034
1.984,0.598341,-0.650225,-0.248628,-0.39671,-0.201328,-0.00744,0.244452,-0.078349,0.336962,0.104658,1.479927,0.650082,0.910919,1.38526,0.361042,2.202015
2.004,0.598336,-0.648774,-0.237043,-0.406074,-0.168721,-0.001685,0.248673,-0.056099,0.33773,0.147238,1.640055,0.180775,-0.09819,0.946167,-0.143513,2.347036
2.024,0.596291,-0.646917,-0.22904,-0.416504,-0.133045,-0.005138,0.241383,-0.048044,0.324687,0.184833,2.008652,-0.4114,-0.704464,0.024673,-0.759853,1.593729
