timestamp,pos1,pos2,pos3,pos4,pos5,pos6,vel1,vel2,vel3,vel4,vel5,vel6
14.535,-0.047884,0.076956,0.256729,-0.003161,0.363814,0.212836,2.922087,-1.524239,-2.871731,0.106247,-1.857586,-0.178761
14.555,0.010809,0.034757,0.199954,-0.017354,0.321234,0.19519,3.218174,-2.356098,-3.030853,-1.039825,-2.038864,-1.401375
14.575,0.063748,-0.014344,0.143563,-0.048044,0.277502,0.15913,1.848524,-2.636074,-2.081161,-1.897873,-2.516228,-1.948227
14.595,0.073721,-0.072654,0.124382,-0.086404,0.218426,0.116167,-0.265369,-2.857632,0.010574,-1.541359,-2.944244,-2.400414
14.616,0.05224,-0.13173,0.133589,-0.099831,0.161652,0.059775,-1.475899,-3.100342,0.898834,0.139484,-2.910004,-2.921082
14.636,0.018098,-0.201163,0.153536,-0.081801,0.10411,0.002618,-1.902908,-3.367222,1.083132,1.257359,-2.766994,-3.105377
14.656,-0.029087,-0.262158,0.164278,-0.064923,0.050404,-0.053006,-2.368183,-3.043945,-0.119339,0.596703,-2.736782,-1.962326
14.676,-0.080106,-0.323152,0.154304,-0.061854,-0.013659,-0.069118,-2.817348,-2.671322,-1.029755,-0.343922,-3.179905,0.165668
14.696,-0.142252,-0.370337,0.121314,-0.079883,-0.07427,-0.050705,-2.986542,-2.399406,-1.805218,-1.256351,-3.304783,1.306705
14.716,-0.201711,-0.418671,0.075664,-0.112491,-0.131429,-0.017714,-3.187962,-2.101303,-2.703548,-1.662212,-2.131519,2.13051
14.736,-0.255033,-0.44821,0.013519,-0.148933,-0.154445,0.031004,-1.834423,-1.082123,-3.211124,-1.948227,-0.266376,2.609888
14.756,-0.265007,-0.457032,-0.048626,-0.197652,-0.139101,0.072818,0.277454,0.027695,-3.123505,-2.589745,1.309727,1.82939
14.776,-0.244293,-0.44821,-0.106936,-0.244836,-0.106876,0.084326,1.400366,0.786037,-2.086197,-2.23827,1.974411,-0.396294
14.797,-0.210919,-0.422123,-0.123814,-0.280128,-0.057774,0.06553,1.920027,1.536324,0.067978,-0.710506,2.437675,-1.40641
14.817,-0.161433,-0.3899,-0.109237,-0.270922,-0.001,0.028319,2.481987,1.960312,1.261387,0.800137,3.171846,-2.044907
14.837,-0.122304,-0.348086,-0.076247,-0.243686,0.064215,-0.015028,1.622934,2.00563,2.140581,1.725658,3.396429,-2.334949
14.857,-0.116166,-0.30167,-0.025994,-0.200721,0.134031,-0.072187,-0.322773,2.626001,2.503136,2.485008,3.123507,-2.898926
14.877,-0.139183,-0.241059,0.026561,-0.148933,0.193875,-0.11707,-1.538338,2.980499,2.88986,2.361135,3.023804,-1.8596
14.897,-0.172941,-0.177763,0.087555,-0.122465,0.250649,-0.127811,-1.990524,3.551521,2.738796,0.449669,2.407461,0.290546
14.917,-0.220125,-0.108329,0.140878,-0.131671,0.302437,-0.107864,-2.377251,3.128542,2.924101,-0.892792,2.970428,1.452736
14.937,-0.270378,-0.050021,0.204941,-0.161592,0.35691,-0.072187,-2.744839,3.122499,3.317877,-1.901901,2.035843,2.138567
14.957,-0.316027,0.012508,0.266319,-0.202639,0.376858,-0.030374,-1.604805,2.825407,3.244358,-1.800182,-0.151569,2.290638
14.978,-0.322933,0.066981,0.337286,-0.220668,0.36228,0.024866,0.396294,2.856627,3.405493,-0.118332,-1.032776,2.73074
14.998,-0.3003,0.114933,0.392144,-0.208394,0.345402,0.079723,1.390295,1.62092,2.33898,1.168734,-0.267384,3.024811
15.018,-0.266926,0.126441,0.41938,-0.17502,0.350772,0.144553,1.937147,-0.169697,0.080063,2.265461,0.682308,3.030853
15.038,-0.217824,0.105343,0.405953,-0.12093,0.372254,0.205164,2.395376,-1.425545,-1.317783,2.756924,1.47187,3.252415
15.058,-0.168338,0.072735,0.364907,-0.077198,0.391819,0.261171,2.745846,-1.837444,-2.204029,1.558479,0.379173,1.87068
15.078,-0.10696,0.028236,0.319257,-0.066073,0.384147,0.276516,3.054016,-2.264454,-2.629025,-0.184803,-0.982422,-0.115311
