time,tensor_0,tensor_1,tensor_2,tensor_3,tensor_4,tensor_5,tensor_6,tensor_7,tensor_8,tensor_9,tensor_10,tensor_11,tensor_12,tensor_13,tensor_14,tensor_15,tensor_16,tensor_17,tensor_18,tensor_19,tensor_20,tensor_21,tensor_22
0.7,0.524863481521606,-0.666840612888336,-0.298767894506454,-0.436554223299027,-0.153707429766655,-0.36693674325943,-0.0836555957794189,-0.138237714767456,0.053386926651001,0.0413469672203064,-0.113178253173828,-1.304652094841,1.60331296920776,2.35679531097412,-0.0419895648956299,-9.78426742553711,-1,1,1,1,1,-1,1
0.72,0.514179468154907,-0.67866587638855,-0.286883652210236,-0.439009964466095,-0.146351650357246,-0.347316920757294,-0.0736582279205322,-0.109008312225342,0.0571293234825134,-0.0199798345565796,0.00819532573223114,1.61991631984711,0.314408361911774,1.38643658161163,0.319906622171402,-3.37971210479736,-1,1,1,1,1,-1,1
0.74,0.504656612873077,-0.689037919044495,-0.277899771928787,-0.439681798219681,-0.155953228473663,-0.312691509723663,-0.0580742359161377,-0.0780059099197388,0.0672949552536011,-0.090213268995285,-0.418190211057663,1.62406432628632,0.805900156497955,1.53128504753113,0.789902985095978,-3.21880197525024,-1,1,1,1,1,-1,1
0.76,0.501389503479004,-0.697928190231323,-0.271107822656631,-0.433595836162567,-0.174132972955704,-0.273650050163269,-0.0326380729675293,-0.0631850957870483,0.0836072564125061,-0.116925925016403,-0.853227198123932,1.77330577373505,1.17266714572907,0.809881508350372,1.44006443023682,-0.410658419132233,-1,1,1,-1,1,1,1
0.78,0.50419956445694,-0.705713927745819,-0.269761741161346,-0.41830524802208,-0.199919953942299,-0.230824589729309,-0.00129604339599609,-0.0659043788909912,0.106794595718384,-0.108692586421967,-1.18712592124939,1.96935951709747,1.37693619728088,-0.0828460305929184,1.36152696609497,0.200738728046417,-1,1,1,-1,1,1,1
0.8,0.510880768299103,-0.711929261684418,-0.274601608514786,-0.39591857790947,-0.232750311493874,-0.184595465660095,0.0353587865829468,-0.0780919790267944,0.138179242610931,-0.0805026888847351,-1.46166133880615,2.02357196807861,1.7002272605896,-0.540485739707947,1.80491292476654,1.47523772716522,-1,1,1,-1,1,1,1
0.82,0.518968343734741,-0.716577470302582,-0.282410830259323,-0.370718985795975,-0.249294087290764,-0.135211169719696,0.0771414041519165,-0.0901645421981812,0.180839061737061,-0.0504342615604401,-0.781616032123566,2.36256241798401,2.07370805740356,-0.437200337648392,2.57939839363098,0.544747352600098,1,1,1,-1,1,1,1
0.84,0.527544796466827,-0.718239486217499,-0.289627134799957,-0.349205493927002,-0.249046921730041,-0.0883238911628723,0.126201510429382,-0.0965449810028076,0.223259925842285,-0.0309618711471558,-0.0122840069234371,2.22531962394714,2.32557106018066,-0.303776979446411,2.09165501594543,1.49552989006042,1,1,1,1,-0.999999821186066,1,1
0.86,0.537801325321198,-0.712807774543762,-0.301873087882996,-0.333987057209015,-0.236549019813538,-0.0410207509994507,0.178839206695557,-0.0934654474258423,0.254704415798187,-0.00181201100349426,0.516464769840241,2.28488492965698,2.53986024856567,0.369953036308289,1.53179609775543,1.78908729553223,1,1,1,1,-1,1,1
0.88,0.550607085227966,-0.699116468429565,-0.32006624341011,-0.325000643730164,-0.21311616897583,-0.0159757137298584,0.214480638504028,-0.07732093334198,0.27426552772522,0.0381263792514801,0.868683993816376,1.44149708747864,1.59997701644897,1.13905155658722,0.992531716823578,1.98546206951141,1,-1,-1,1,-1,1,1
