time,tensor_0,tensor_1,tensor_2,tensor_3,tensor_4,tensor_5,tensor_6,tensor_7,tensor_8,tensor_9,tensor_10,tensor_11,tensor_12,tensor_13,tensor_14,tensor_15,tensor_16,tensor_17,tensor_18,tensor_19,tensor_20,tensor_21,tensor_22
5.06,0.6622083783149719,-0.4715133011341095,-0.5466951131820679,-0.2006979137659073,-0.06510928273200989,-0.16030526161193848,-0.07910943031311035,-0.15965521335601807,-0.08864569664001465,-0.0017903447151184082,0.11274100095033646,0.3412763476371765,-0.2816074788570404,-0.30734363198280334,0.25262221693992615,-0.5598843097686768,1.0,1.0,1.0,1.0,1.0,-1.0,1.0
5.08,0.6513379812240601,-0.4861152470111847,-0.5456962585449219,-0.2041233479976654,-0.04713258147239685,-0.14894497394561768,-0.07317423820495605,-0.15367472171783447,-0.07423925399780273,-0.03245624899864197,0.19147679209709167,0.3837854862213135,0.14955973625183105,0.7404961585998535,0.2925541400909424,-1.866616129875183,1.0,1.0,1.0,1.0,1.0,-1.0,1.0
5.1,0.6452893614768982,-0.5001875162124634,-0.5380504131317139,-0.20956088602542877,-0.028834402561187744,-0.13147270679473877,-0.054569244384765625,-0.13586914539337158,-0.06729036569595337,-0.09059715270996094,0.8900104761123657,0.7978700995445251,0.9695540070533752,0.9479696154594421,0.40633440017700195,-3.2014784812927246,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0
5.12,0.6400108933448792,-0.5117211937904358,-0.5300116539001465,-0.21820899844169617,-0.024185627698898315,-0.10602903366088867,-0.029209136962890625,-0.11018061637878418,-0.05997687578201294,-0.163400799036026,0.2272765338420868,1.2245055437088013,1.2420835494995117,1.3656015396118164,0.7436538338661194,-3.8198306560516357,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0
5.14,0.6384888887405396,-0.5184082388877869,-0.5218852162361145,-0.22631976008415222,-0.030596882104873657,-0.07471299171447754,0.0010714530944824219,-0.08132684230804443,-0.05542236566543579,-0.216409832239151,-0.3485191762447357,1.62355637550354,1.3633989095687866,1.4451247453689575,0.89176344871521,-1.599682331085205,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0
5.16,0.6394729018211365,-0.5205961465835571,-0.5202556848526001,-0.22223378717899323,-0.047991812229156494,-0.03527951240539551,0.03762400150299072,-0.06879794597625732,-0.042238831520080566,-0.22397318482398987,-0.7776519060134888,1.7687218189239502,1.6599359512329102,0.6521382331848145,1.1431244611740112,0.03474687039852142,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0
5.18,0.6423106789588928,-0.5189111232757568,-0.5239735245704651,-0.20885367691516876,-0.05055680871009827,0.006260514259338379,0.08170139789581299,-0.0698091983795166,-0.028127551078796387,-0.19955065846443176,-0.0168759785592556,1.7269490957260132,2.030083179473877,-0.029983632266521454,0.7396025061607361,1.7292886972427368,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0
5.2,0.6472800970077515,-0.5106486678123474,-0.5304253101348877,-0.19726961851119995,-0.0396236777305603,0.04759514331817627,0.12900149822235107,-0.06304526329040527,-0.020733296871185303,-0.16716459393501282,0.49551212787628174,1.932837963104248,2.2535932064056396,0.5165389776229858,0.28142374753952026,1.7783629894256592,1.0,1.0,1.0,1.0,-1.0,1.0,1.0
5.22,0.655187726020813,-0.49715036153793335,-0.5389288067817688,-0.182006374001503,-0.01935023069381714,0.07039648294448853,0.1638779640197754,-0.06047976016998291,-0.019155263900756836,-0.1079479455947876,0.9376069903373718,0.972659707069397,1.460740566253662,0.1018553078174591,0.0026202108711004257,3.3825416564941406,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0
5.24,0.6654220223426819,-0.47945937514305115,-0.5457008481025696,-0.1718800663948059,0.00748935341835022,0.07862502336502075,0.17637324333190918,-0.040766239166259766,-0.01753312349319458,-0.06799519062042236,1.1414213180541992,0.5894609689712524,0.5883788466453552,0.8631032109260559,0.4554360806941986,1.7769405841827393,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0
